2018-02-25 17:43:36 status not-installed libasan1:armhf <none>
2018-02-25 17:43:36 status installed libatomic1:armhf 4.9.2-10
2018-02-25 17:43:36 remove libatomic1:armhf 4.9.2-10 <none>
2018-02-25 17:43:36 status half-configured libatomic1:armhf 4.9.2-10
2018-02-25 17:43:36 status half-installed libatomic1:armhf 4.9.2-10
2018-02-25 17:43:36 status config-files libatomic1:armhf 4.9.2-10
2018-02-25 17:43:36 purge libatomic1:armhf 4.9.2-10 <none>
2018-02-25 17:43:36 status config-files libatomic1:armhf 4.9.2-10
2018-02-25 17:43:36 status config-files libatomic1:armhf 4.9.2-10
2018-02-25 17:43:36 status config-files libatomic1:armhf 4.9.2-10
2018-02-25 17:43:36 status config-files libatomic1:armhf 4.9.2-10
2018-02-25 17:43:36 status config-files libatomic1:armhf 4.9.2-10
2018-02-25 17:43:36 status not-installed libatomic1:armhf <none>
2018-02-25 17:43:36 status installed libdpkg-perl:all 1.17.27
2018-02-25 17:43:37 remove libdpkg-perl:all 1.17.27 <none>
2018-02-25 17:43:37 status half-configured libdpkg-perl:all 1.17.27
2018-02-25 17:43:37 status half-installed libdpkg-perl:all 1.17.27
2018-02-25 17:43:41 status config-files libdpkg-perl:all 1.17.27
2018-02-25 17:43:41 status config-files libdpkg-perl:all 1.17.27
2018-02-25 17:43:41 status config-files libdpkg-perl:all 1.17.27
2018-02-25 17:43:42 status not-installed libdpkg-perl:all <none>
2018-02-25 17:43:42 status installed libfakeroot:armhf 1.20.2-1
2018-02-25 17:43:42 remove libfakeroot:armhf 1.20.2-1 <none>
2018-02-25 17:43:42 status half-configured libfakeroot:armhf 1.20.2-1
2018-02-25 17:43:42 status half-installed libfakeroot:armhf 1.20.2-1
2018-02-25 17:43:42 status config-files libfakeroot:armhf 1.20.2-1
2018-02-25 17:43:42 purge libfakeroot:armhf 1.20.2-1 <none>
2018-02-25 17:43:42 status config-files libfakeroot:armhf 1.20.2-1
2018-02-25 17:43:42 status config-files libfakeroot:armhf 1.20.2-1
2018-02-25 17:43:42 status config-files libfakeroot:armhf 1.20.2-1
2018-02-25 17:43:42 status config-files libfakeroot:armhf 1.20.2-1
2018-02-25 17:43:42 status config-files libfakeroot:armhf 1.20.2-1
2018-02-25 17:43:42 status not-installed libfakeroot:armhf <none>
2018-02-25 17:43:42 status installed libfile-fcntllock-perl:armhf 0.22-1+b1
2018-02-25 17:43:43 remove libfile-fcntllock-perl:armhf 0.22-1+b1 <none>
